Hotel_Name,District,Category,Star Rating,Price,Nearby Attractions,Latitude,Longitude,Rating,Recommended For
Radisson Blu,Ranchi,Luxury,5,7500,"Jubilee Park, Rock Garden",23.3441,85.3096,4.5,"Business, Family"
BNR Hotel,Ranchi,Heritage,4,4500,"Ranchi Lake, Pahari Mandir",23.3601,85.3354,4.3,"Heritage, Couple"
Hotel Capitol Hill,Ranchi,Business,3,2800,"Birsa Munda Airport, Mall Road",23.3706,85.3242,3.9,"Business, Solo"
Lemon Tree Hotel,Ranchi,Upscale,4,5200,"Kanke Dam, Ranchi University",23.3847,85.3157,4.2,"Business, Family"
Hotel Yuvraj Palace,Jamshedpur,Upscale,4,4800,"Jubilee Park, Tata Steel Zoo",22.8046,86.2029,4.1,"Business, Family"
Vivanta Jamshedpur,Jamshedpur,Luxury,5,9000,"Dimna Lake, Jubilee Park",22.7973,86.1951,4.6,"Luxury, Business"
Hotel Usha Martin,Jamshedpur,Business,3,2500,"Jubilee Park, XLRI",22.801,86.189,3.7,"Business, Solo"
Mayfair Himalayan Spa Resort,Deoghar,Resort,4,5500,Baidyanath Dham Temple,24.4862,86.6947,4.4,"Pilgrimage, Wellness"
Hotel Satsang,Deoghar,Mid-range,3,2200,"Baidyanath Temple, Nandan Pahar",24.4921,86.691,3.8,"Pilgrimage, Budget"
Centrepoint Hotel,Bokaro,Mid-range,3,2600,"Bokaro Steel Plant, City Park",23.6693,86.1511,3.6,"Business, Family"
Hotel Aastha,Bokaro,Budget,2,1500,"City Park, Sector 4 Market",23.672,86.149,3.2,"Budget, Solo"
The Fern Residency,Hazaribagh,Upscale,4,4200,Hazaribagh Wildlife Sanctuary,23.9979,85.3618,4.3,"Nature, Family"
Hotel Nirvana,Hazaribagh,Mid-range,3,2000,"Canary Hill, Hazaribagh Lake",24.006,85.359,3.5,"Nature, Budget"
Palash Residency,Dhanbad,Business,3,2400,"Topchanchi Lake, ISM Dhanbad",23.7957,86.4304,3.7,"Business, Solo"
Hotel Kohinoor,Dhanbad,Mid-range,3,1800,"Panchet Dam, City Centre",23.801,86.425,3.4,"Budget, Business"
Netarhat Hotel,Netarhat,Resort,3,3500,"Sunrise/Sunset Point, Magnolia Falls",23.4833,84.2667,4,"Nature, Honeymoon"
Hotel Rajhans,Giridih,Budget,2,1200,"Parasnath Hill, Usri Falls",24.187,86.306,3.1,"Pilgrimage, Budget"
Prabhat Vihar,Ramgarh,Mid-range,3,2000,"Rajrappa Temple, Patratu Dam",23.6333,85.5167,3.6,"Pilgrimage, Family"
Hotel Sarovar,Dumka,Budget,2,1400,"Masanjore Dam, Basant Panchami Fair",24.2677,87.2477,3,"Budget, Pilgrimage"
Patratu Resort,Patratu,Resort,3,3000,"Patratu Lake, Patratu Dam",23.6333,85.2833,4.1,"Nature, Family"
