place_name,district,state,category,latitude,longitude,tags,activities,best_season,vibe,image_url,rating,Sentiment_score,Sentiment_label,feedback
Amarnath Temple,Pahalgam,Jammu and Kashmir,Temple,34.215692,75.50412,"hindu,pilgrimage,spiritual,temple,heritage","worship,sightseeing,prayer",All Season,spiritual,https://upload.wikimedia.org/wikipedia/commons/6/66/Cave_Temple_of_Lord_Amarnath.jpg,4.4,,,No review text was available for this Temple in the source data.
Aru valley,Pahalgham,Jammu and Kashmir,Hill Station,34.090833,75.263333,"river,water,nature,scenic","rafting,valley sightseeing, and pony rides",All Season,peaceful,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/ec/dc/15/aru-city.jpg?w=1200&h=-1&s=1,4.2,0.984,Positive,"A scenic valley near Pahalgam, reached via the Pampore–Bijbehara route past saffron fields and apple orchards. Popular for horse riding and photography, though experiences are mixed — some visitors find it overcrowded with heavy vehicle restrictions requiring long walks, while others cite littering and poor waste management along the river as ongoing issues."
Avantipur Temple,Pulwama,Jammu and Kashmir,Temple,33.921389,75.013611,"hindu,pilgrimage,spiritual,temple,heritage","worship,sightseeing,prayer",All Season,spiritual,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/49/7d/df/the-ruined-temple.jpg?w=1200&h=1200&s=1,4.3,,,No review text was available for this Temple in the source data.
Babor Temple,Udhampur,Jammu and Kashmir,Temple,32.8682,75.1233,"hindu,pilgrimage,spiritual,temple,heritage","worship,sightseeing,prayer",All Season,spiritual,https://i0.wp.com/blog.templesofindia.org/wp-content/uploads/2021/10/WhatsApp-Image-2021-10-02-at-15.15.14.jpeg?fit=960%2C442&ssl=1,4.4,,,No review text was available for this Temple in the source data.
Bahu Fort & Temple,Jammu,Jammu and Kashmir,Temple,32.7313513,74.8832877,"hindu,pilgrimage,spiritual,temple,heritage","worship,sightseeing,prayer",All Season,spiritual,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/88/31/df/loved-it.jpg?w=1200&h=-1&s=1,4.1,0.993,Positive,"A historic fort in Jammu, originally built by an earlier ruler and refurbished by Raja Gulab Singh in the 19th century. It houses the locally known 'Bawe Wali Mata' temple dedicated to Goddess Kali, alongside gardens, a fish aquarium, and views over the Tawi river. Popular with both local families and tourists; visitors are cautioned about monkeys around the grounds."
Buddha Amarnath Temple,Poonch,Jammu and Kashmir,Temple,33.8023838,74.2617643,"hindu,pilgrimage,spiritual,temple,heritage","worship,sightseeing,prayer",All Season,spiritual,http://www.kashmirhills.com/wp-content/uploads/2015/02/Budha_amarnath.jpg,4.8,,,No review text was available for this Temple in the source data.
Charar-e-sharif,Budgam,Jammu and Kashmir,Muslim pilgrimage,33.8625,74.8422,"muslim,pilgrimage,spiritual,mosque,heritage","worship,sightseeing,prayer",All Season,spiritual,https://charzanholidays.com/wp-content/uploads/2024/09/chrar-e-shareef_charzan_holidays.jpg,4.7,,,No review text was available for this Muslim pilgrimage in the source data.
Chashma Shahi,Srinagar,Jammu and Kashmir,Garden,34.085833,74.864722,"garden,flowers,greenery,nature","walking,picnic,photography,relaxation","Spring,Summer",peaceful,https://www.tourmyindia.com/states/jammu-kashmir/image/chashme-shahi-srinagar.jpg,4.6,,,No review text was available for this Garden in the source data.
Chhatti Padshahi Gurudwara,Srinagar,Jammu and Kashmir,Sikh pilgrimage,34.0837,34.1039,"sikh,pilgrimage,spiritual,gurudwara,heritage","worship,sightseeing,prayer",All Season,spiritual,https://www.trawell.in/admin/images/upload/509714714Chatti_Padshahi_Gurudwara_Main.jpg,4.4,,,No review text was available for this Sikh pilgrimage in the source data.
Dah & Hanu,Leh,Ladakh,Hill Station,34.6025,76.5112,"village,culture,heritage","sightsee, culture tour","Summer,Autumn",cultural,https://discoverlehladakh.in/wp-content/uploads/2020/11/Hanu-Yogma-village-of-Dah-Hanu-valley-of-Ladakh-960x530.jpg,4.7,,,No review text was available for this Hill Station in the source data.
