place_name,district,category,latitude,longitude,tags,activities,best_season,vibe,image_url
Dal Lake,Srinagar,Lake,34.1137233,74.8700063,"lake,water,nature,scenic","boating,sightseeing,photography,relaxation","Summer,Autumn",peaceful,https://upload.wikimedia.org/wikipedia/commons/e/e1/Dal_Lake_Hazratbal_Srinagar.jpg
Nagin Lake,Srinagar,Lake,34.1156932,74.8294934,"lake,water,nature,scenic","boating,sightseeing,photography,relaxation","Summer,Autumn",peaceful,https://www.kashmir-tourism.com/img2/3.jpg
Wullar Lake,Bandipora,Lake,34.3502521,74.5419994,"lake,water,nature,scenic","boating,sightseeing,photography,relaxation","Summer,Autumn",peaceful,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/13/61/e0/wular-lake.jpg?w=1200&h=-1&s=1
Surinsar Lake,Jammu,Lake,32.7702338,75.0411006,"lake,water,nature,scenic","boating,sightseeing,photography,relaxation","Summer,Autumn",peaceful,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/a1/af/36/picnic-20190225-141339438.jpg?w=1200&h=1200&s=1
Mansar Lake,Samba,Lake,32.6972343,75.1449155,"lake,water,nature,scenic","boating,sightseeing,photography,relaxation","Summer,Autumn",peaceful,https://www.tourmyindia.com/socialimg/mansar-lake.jpg
Pangong Lake,Leh,Lake,33.752491,78.668243,"lake,water,nature,scenic","boating,sightseeing,photography,relaxation","Summer,Autumn",peaceful,https://www.tourmyindia.com/socialimg/pangong-lake-ladakh.jpg
Tso Moriri Lake,Changthang,Lake,32.9128,78.31467,"lake,water,nature,scenic","boating,sightseeing,photography,relaxation","Summer,Autumn",peaceful,https://brownchinarkashmir.com/wp-content/uploads/2025/03/Tso-Moriri-Lake_brown_chinar_kashmir.jpg.webp
Tsokar Lake,Changthang,Lake,33.3333,78.006,"lake,water,nature,scenic","boating,sightseeing,photography,relaxation","Summer,Autumn",peaceful,https://upload.wikimedia.org/wikipedia/commons/5/5d/Tsokar.jpg
Amarnath Temple,Pahalgam,Temple,34.215692,75.50412,"hindu,pilgrimage,spiritual,temple,heritage","worship,sightseeing,prayer",All Season,spiritual,https://upload.wikimedia.org/wikipedia/commons/6/66/Cave_Temple_of_Lord_Amarnath.jpg
Raghunath Temple,Jammu,Temple,32.7317607,74.8584316,"hindu,pilgrimage,spiritual,temple,heritage","worship,sightseeing,prayer",All Season,spiritual,https://www.tourmyindia.com/states/jammu-kashmir/image/raghunath-temple.jpg
Vaishno Devi Temple,Reasi,Temple,33.0301412,74.9479292,"hindu,pilgrimage,spiritual,temple,heritage","worship,sightseeing,prayer",All Season,spiritual,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/f3/ca/ba/img-20190322-160253-425.jpg?w=1200&h=-1&s=1
Shankracharya Temple,Srinagar,Temple,34.078922,74.841535,"hindu,pilgrimage,spiritual,temple,heritage","worship,sightseeing,prayer",All Season,spiritual,https://upload.wikimedia.org/wikipedia/commons/9/9b/The_Ancient_Shankaracharya_Temple_%28Srinagar%2C_Jammu_and_Kashmir%29_%28cropped%29.jpg
Avantipur Temple,Pulwama,Temple,33.921389,75.013611,"hindu,pilgrimage,spiritual,temple,heritage","worship,sightseeing,prayer",All Season,spiritual,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/49/7d/df/the-ruined-temple.jpg?w=1200&h=1200&s=1
