place_name,district,state,category,latitude,longitude,tags,activities,best_season,vibe,description,rating,image_url,reviews,Sentiment Score,Sentiment Label
Aaiyappa Mandir,Bokaro,Jharkhand,Temple,23.664956,86.169001,"religious,spiritual,heritage","worship,sightseeing",All Season,peaceful,"Aaiyappa Mandir in Bokaro Steel City is a prominent Hindu temple dedicated primarily to Lord Ayyappa, serving as a spiritual and cultural hub for devotees, especially from the South Indian community. The temple was inaugurated on 11th July 1983, fulfilling a long-cherished aspiration of Lord Ayyappa devotees in the region. The main deity is Lord Ayyappa (Sri Dharma Sastha), worshipped as an incarnation of Lord Vishnu. Other deities includes, Lord Shiva, Lord Vishnu, Lord Ganesha, Lord Kartikeya, Goddess Bhagavati, Lord Ram & Sita, Lord Anjaneya, Nagaraja, Nagayakshi, and the Navagraha.",4.6,https://imgs.search.brave.com/vP79k7LN3PWcXu1aDbY9UB98AkHxS7bsioNcL6x2NQw/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly9jb250/ZW50LmpkbWFnaWNi/b3guY29tL2NvbXAv/Ym9rYXJvL3U3Lzk5/OTlwNjU0Mi42NTQy/LjE5MDgyMTExMjkw/Mi51NXU3L2NhdGFs/b2d1ZS9heXlhcHBh/LXRlbXBsZS1ib2th/cm8tdGVtcGxlcy16/N3ZjenVvYXM1Lmpw/Zz93PTM4NDAmcT03/NQ,No review text was available for this Temple in the source data.,,N/A (no review data)
Baidyanath Temple,Deoghar,Jharkhand,Temple,24.49273819,86.6999656,"religious,spiritual,heritage","worship,sightseeing",All Season,peaceful,"Baidyanath Temple in Deoghar, Jharkhand, is one of the twelve Jyotirlingas and a significant Shakti Peeth, attracting devotees seeking spiritual blessings and healing. The temple complex consists of central shrine plus 21 additional temples, designed in the Nagara architectural style, with a pyramid-shaped shikhara standing around 72 feet tall. According to legend, the demon king Ravana worshipped Lord Shiva here, offering his heads as penance. Shiva, pleased with the devotion, granted him a lingam to take to Lanka, which became fixed at Deoghar due to divine intervention. This lingam is considered Swayambhu, self-manifested, and devotees believe it possesses healing properties, giving Shiva the name Baidyanath, the “Lord of Physicians”.",4.5,https://d3sftlgbtusmnv.cloudfront.net/blog/wp-content/uploads/2024/11/Baidyanath-Temple-1-840x425.jpg,"Baba Baidyanath Dham is a deeply revered Jyotirlinga temple, but recent visitor reviews are overwhelmingly critical of the on-ground experience — citing chaotic crowd management, aggressive pandas (priests), and poor cleanliness that overshadow the site's spiritual importance.",-0.964,Mixed
Basukinath,Deoghar,Jharkhand,Temple,24.3896138,87.0702427,"religious,spiritual,heritage","worship,sightseeing",All Season,peaceful,"Basukinath, located in Dumka district, Jharkhand, is a revered Hindu pilgrimage town famous for the Baba Basukinath Temple dedicated to Lord Shiva, attracting thousands of devotees annually, particularly during the Shravani Mela. It is a renowned Hindu pilgrimage site, closely linked with Baidyanath Dham in Deoghar, forming an important spiritual circuit for devotees visiting Lord Shiva. Deity: Lord Shiva, also revered as Baba Bhole Nath. Architecture: Nagara style, featuring a lotus-shaped dome with white marble construction. The temple is approximately 150 years old and was built by a tribal devotee named Basaki Tatme.",4.4,https://upload.wikimedia.org/wikipedia/commons/4/4a/Baba_Basukinath_Temple_complex_at_Basukinath%2C_Jharkhand_08.jpg,"Basukinath is a peaceful pilgrimage stop commonly combined with a Baidyanath Dham visit, known for its Nandi statue and relatively easy darshan — though visitors should expect insistent pandas/photographers and some hygiene concerns with roadside food.",0.758,Positive
Bhadrakali Temple,Hazaribagh,Jharkhand,Temple,23.99259708,85.36356734,"religious,spiritual,heritage","worship,sightseeing",All Season,peaceful,"Bhadrakali Temple at Itkhori is a centuries-old sacred site where Hinduism, Buddhism, and Jainism converge, renowned for its historic architecture, spiritual significance, and cultural heritage. The temple is situated at the confluence of the Mahane and Baksa rivers ( ). Nearby airports are Bodh Gaya Airport ( Travel by personal vehicle is convenient and scenic ( ). Built around the 9th century by King Mahendra Pal II of the Pala dynasty, the temple is dedicated to Goddess Bhadrakali, an incarnation of Durga ( ).",4.3,https://i0.wp.com/weekendyaari.in/wp-content/uploads/2025/09/Bhadrakali-Temple-Warangal.jpg?w=700&ssl=1,"Bhadrakali Temple offers a genuinely devotional experience with the chance to touch the Shivling directly, best enjoyed on an early-morning visit — but queue management is often chaotic, and one visitor reported aggressive individuals demanding money near the parking area. (One of the four scraped reviews was actually about an unrelated temple in Maharashtra and was excluded.)",-0.166,Negative
Bhatinda Fall,Dhanbad,Jharkhand,Waterfall,23.71166334,86.33170341,"nature,waterfall,photography,scenic","sightseeing,picnic,photography","Monsoon,Winter",adventurous,"Bhatinda Fall in Dhanbad, Jharkhand, is a picturesque and easily accessible waterfall celebrated for its rocky cascades and tranquil surroundings, ideal for picnics and nature lovers. It lies amidst rugged hillocks and lush greenery, offering a peaceful retreat from city life. The waterfalls are surrounded by enormous rocky boulders, and the cascading water flows gently over multiple tiers, giving it a unique and serene appearance. River Confluence: The Katari and Damodar rivers meet near the falls, creating a scenic water body. Bhatinda Fall is a three-tier waterfall, relatively low in height but wide, making it easy to walk near the flow and enjoy photography.",4.3,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/c4/8c/7b/bhatinda-falls-at-its.jpg?w=900&h=500&s=1,"Bhatinda Fall is a scenic rocky waterfall close to Dhanbad, free to enter, and a popular day-trip/picnic spot — but repeated litter and poor site maintenance are a common complaint.",0.064,Mixed
Birsa Deer Park,Ranchi,Jharkhand,Park,23.18625641,85.28321894,"nature,greenery","walking,picnic,relax,photography","Winter,Spring",family-friendly,"Birsa Deer Park, located near Ranchi in Jharkhand, is a scenic wildlife sanctuary famous for its diverse deer species and serene natural environment. The park spans roughly 54 acres and is set within a sal forest, enhanced with Ficus, Ber, Bel, and Neem trees, providing a natural and lush habitat for wildlife. Three watch-towers are available for wildlife observation, and the park includes shaded trails, open spaces, and a lake area contributing to a tranquil setting. The park hosts over 15 species of deer, including spotted deer and Sambar deer, set against the backdrop of towering Sal trees and dense greenery. Visitors can enjoy a park safari, walking trails, and scenic viewpoints ideal for photography and close wildlife observation.",4.1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/4e/0b/5a/deer-park.jpg?w=1200&h=-1&s=1,No review text was available for this Park in the source data.,0.421,Positive
Canary Hills,Hazaribagh,Jharkhand,Hill,24.00562458,85.38016573,"hills,scenic,nature","trekking,sightseeing,photography",Winter,peaceful,"Canary Hills is a scenic hill in Hazaribagh, Jharkhand, known for panoramic views, lush forests, lakes, trekking opportunities, and rich historical significance. The hill area can also be accessed by road from Hazaribagh town, and a rest house at the top allows driving to viewpoints. Roads near the summit can be narrow and rocky, requiring sturdy footwear for walking.",4.1,https://content.jdmagicbox.com/comp/hazaribagh/y5/9999p6546.6546.200627213559.f5y5/catalogue/canary-hill-veiwing-point-dipugarha-hazaribagh-tourist-attraction-a978j7tphC.jpg,No review text was available for this Hill in the source data.,,N/A (source reviews are about a different location)
Chandil Dam,Jamshedpur,Jharkhand,Dam,22.9750779,86.0234033,"water,reservoir,scenic,nature","sightseeing,photography","Winter,Monsoon",peaceful,"Chandil Dam is a scenic multipurpose dam on the Subarnarekha River, located near Chandil in Jharkhand, India, known for its picturesque surroundings and recreational activities. Chandil Dam is situated near Chandil town in the Seraikela Kharsawan district of Jharkhand, at coordinates 22.9747°N 86.0203°E. It lies about 22– The dam is part of the Subarnarekha Multipurpose Project, constructed to support irrigation, water supply, and flood control. Scenic Beauty: Nestled with the Dalma Hills in the background, the dam and its surrounding reservoir offer lush forests and serene water views.",4.2,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/75/16/2e/dam-gate.jpg?w=1200&h=-1&s=1,"Dimna Lake is a scenic reservoir surrounded by wooded hills with a panoramic view from the dam top, and a charming local instant-photo service — though litter along the trail and lakeside is a frequent complaint.",,N/A (source reviews are about a different location)
City Park,Bokaro,Jharkhand,Park,23.6579529,86.1566064,"nature,greenery","walking,picnic,relax,photography","Winter,Spring",family-friendly,"City Park in Bokaro, Jharkhand is a popular urban park featuring lakeside greenery, recreational activities, dining options, and a peaceful environment for families and visitors of all ages. The park spans 57.8 acres and offers a serene environment with well-maintained lawns, flowerbeds, and tall trees providing shade. There is a large artificial lake with boating facilities and three small islands, enhancing the park’s scenic beauty. Fitness enthusiasts can enjoy a jogging track and a small gym.",4.2,https://imgs.search.brave.com/mBqiSDIgBN2gf5dPuBvo7tBRIbM0bTt7AGQNHh-ATqA/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly92dXNo/aWkuY29tL3VwbG9h/ZHMvOTI5ODA5NTA0/X0NpdHklMjBQYXJr/LnBuZw,No review text was available for this Park in the source data.,,N/A (no review data)
Dassam Falls,Ranchi,Jharkhand,Waterfall,23.1467626,85.4670882,"nature,waterfall,photography,scenic","sightseeing,picnic,photography","Monsoon,Winter",adventurous,"Dassam Falls is a spectacular 144-foot waterfall on the Kanchi River near Taimara village in Ranchi district of Jharkhand, known for its ten distinct streams and lush natural surroundings. From the highway, a motorable road leads 10–15 minutes into the village. The waterfall is situated on the Ranchi Plateau, a part of the Chota Nagpur Plateau, forming a scarp fall or knick point. It is formed by the Kanchi River, a tributary of the Subarnarekha River, plunging vertically from a height of 144 feet ( Dassam Falls splits into ten distinct water streams, creating a visually striking curtain of flowing water.",4.4,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/48/68/f4/dassam-falls.jpg?w=1200&h=-1&s=1,No review text was available for this Waterfall in the source data.,0.898,Positive
